,Season,Episode,Speaker,Line,date_job
67,1.0,1.0,Miranda,"By the time you reach your mid-30s you think, ""Why should I settle?"" You know?",
68,1.0,1.0,Charlotte,"It's like the older we get, the more we keep self-selecting down to a smaller and smaller group.",
69,1.0,1.0,Capote Duncan,What women really want is Alec Baldwin.,
70,1.0,1.0,Peter Mason,There's not one woman in New York who hasn't turned down 10 wonderful guys because they were too short or too fat or too poor.,
71,1.0,1.0,Miranda,"I have been out with some of those guys-- the short, fat, poor ones.",
72,1.0,1.0,Miranda,It makes absolutely no difference.,
73,1.0,1.0,Miranda,They are just as self-centered and unappreciative as the good-looking ones.,
74,1.0,1.0,Peter Mason,"Why don't these women just marry a fat guy? Why don't they just marry a big, fat tub of lard?",
75,1.0,1.0,Group,"Happy birthday, dear Miranda Happy birthday to you",
76,1.0,1.0,Carrie, Another 30-something birthday with a group of unmarried female friends.,
77,1.0,1.0,Carrie,We would all have preferred a nice celebratory conference call.,
78,1.0,1.0,Miranda,- You were saying?,
79,1.0,1.0,Samantha," Look. If you're a successful single woman in this city, you have two choices: You can bang your head against the wall and try and find a relationship or you can say ""screw it,"" and just go out and have sex like a man.",
80,1.0,1.0,Charlotte,- You mean with dildos?,
81,1.0,1.0,Samantha,"No, I mean without feeling.",
82,1.0,1.0,Carrie,Samantha was a New York inspiration.,
83,1.0,1.0,Carrie,A public relations executive she routinely slept with good-looking guys in their 20s.,
84,1.0,1.0,Samantha,"Remember that guy I was going out with? Oh, God, what was his name?",
85,1.0,1.0,Group,Drew.,
86,1.0,1.0,Carrie,- Drew the sex god.,
87,1.0,1.0,Samantha,- Right.,
88,1.0,1.0,Samantha,Afterwards? I didn't feel a thing.,
89,1.0,1.0,Samantha,"It was like, ""Hey, babe, gotta go.",
90,1.0,1.0,Samantha,Catch ya later.,
91,1.0,1.0,Samantha,""" And I completely forgot about him after that.",
92,1.0,1.0,Charlotte,But are you sure that isn't just 'cause he didn't call you? ,
93,1.0,1.0,Samantha,"Sweetheart, this is the first time in the history of Manhattan that women have had as much money and power as men plus the equal luxury of treating men like sex objects.",
94,1.0,1.0,Miranda,"Yeah, except men in this city fail on both counts.",
95,1.0,1.0,Miranda,"I mean, they don't want to be in a relationship with you but as soon as you only want them for sex, they don't like it.",
96,1.0,1.0,Miranda,All of a sudden they can't perform the way they're supposed to.,
97,1.0,1.0,Samantha,- That's when you dump them.,
98,1.0,1.0,Carrie,"- Ladies, are we really that cynical? What about romance? ",
99,1.0,1.0,Charlotte,Yeah.,
100,1.0,1.0,Samantha,Who needs it?,
101,1.0,1.0,Miranda,"It's like that guy, Jeremiah, the poet.",x
102,1.0,1.0,Miranda,"I mean, the sex was incredible.",
103,1.0,1.0,Miranda,"But then he wanted to read me his poetry and go out to dinner and the whole chat bit, and I'm like, ""Let's not even go there.",
104,1.0,1.0,Charlotte,""" What are you saying? That you're just going to give up on love? - That's sick.",
105,1.0,1.0,Carrie,"- No, no, no.",
106,1.0,1.0,Carrie,"Believe me the right guy comes along, and you two here, this whole thing-- - right out the window.",
107,1.0,1.0,Charlotte,- That's right! ,
108,1.0,1.0,Samantha,Listen to me! The right guy is an illusion.,
109,1.0,1.0,Samantha,Start living your lives.,
110,1.0,1.0,Carrie,So you think it's really possible to pull off this whole women-having-sex-like-men thing?,
111,1.0,1.0,Samantha,You're forgetting The Last Seduction.,
112,1.0,1.0,Carrie,- You're obsessed with that movie.,
113,1.0,1.0,Miranda,"Okay, Linda Fiorentino fucking that guy up against the chain-link fence.",
114,1.0,1.0,Samantha,"And never having one of those ""Oh, my God, what have I done?"" epiphanies.",
115,1.0,1.0,Charlotte,I hated that movie.,
116,1.0,1.0,Carrie,Was it true? Were women in New York really giving up on love and throttling up on power? What a tempting thought.,
117,1.0,1.0,Stanford Blatch,I'm beginning to think the only place one can still find love and romance in New York is the gay community.,
118,1.0,1.0,Stanford Blatch,It's straight love that's become closeted.,
119,1.0,1.0,Carrie,Stanford Blatch was one of my closest friends.,
120,1.0,1.0,Carrie,"He owned a talent agency and, at the moment, was down to a single client.",
121,1.0,1.0,Carrie,"So, are you telling me that you're in love? ",
122,1.0,1.0,Stanford Blatch,"How could I possibly sustain a relationship? You know Derek takes up like, a thousand percent of my time.",
123,1.0,1.0,Carrie,Don't you think that's a bit obsessive?,
124,1.0,1.0,Stanford Blatch,Carrie I'm a passionate person. His career is all I care about.,
125,1.0,1.0,Stanford Blatch,"When that's under control, then I can concentrate on my personal life.",
126,1.0,1.0,Carrie,"Stanford, he's an underwear model.",
127,1.0,1.0,Stanford Blatch,With a billboard in Times Square.,
128,1.0,1.0,Stanford Blatch,"Oh, my God.",
129,1.0,1.0,Stanford Blatch,Don't turn around.,
130,1.0,1.0,Stanford Blatch,The loathe of your life is at the bar.,
131,1.0,1.0,Carrie,It was Kurt Harrington a mistake I made when I was 26 and 29 and 31.,
132,1.0,1.0,Stanford Blatch,"Carrie, don't even go there.",
133,1.0,1.0,Carrie,What? Do you think I'm a masochist? - The man is scum.,
134,1.0,1.0,Stanford Blatch,- Good.,
135,1.0,1.0,Stanford Blatch,Because I don't have the patience to clean up this mess for the fourth time.,
136,1.0,1.0,Carrie,Will you relax? I don't have a shred of feeling left.,
137,1.0,1.0,Stanford Blatch,Thank God.,
138,1.0,1.0,Carrie,"Now, if you'll excuse me, I have to visit the ladies' room.",
139,1.0,1.0,Carrie,It was true.,
140,1.0,1.0,Carrie,I no longer felt a thing for Kurt.,
141,1.0,1.0,Carrie,"After all these years, I finally saw him for what he was: a self-centered, withholding creep who was still the best sex I ever had in my life.",
142,1.0,1.0,Carrie,"However, I did have a little experiment in mind.",
143,1.0,1.0,Carrie,Kurt. Wow. What are you doin' here?,
144,1.0,1.0,Kurt Harrington," Hey, babe.",
145,1.0,1.0,Kurt Harrington,"- God, you look gorgeous.",
146,1.0,1.0,Carrie,- Thanks.,
147,1.0,1.0,Carrie,"So, how's life? ",
148,1.0,1.0,Kurt Harrington,Not bad. Can't complain.,
149,1.0,1.0,Carrie,"You? Oh, you know, just writing the column.",
150,1.0,1.0,Carrie,The usual.,
151,1.0,1.0,Carrie,"So, you seeing anyone special?",
152,1.0,1.0,Kurt Harrington,Not really. You? ,
153,1.0,1.0,Carrie,"Oh, just a couple guys.",
154,1.0,1.0,Carrie,"- Well, you look good, though.",
155,1.0,1.0,Kurt Harrington,- So do you.,
156,1.0,1.0,Carrie,So what are you doing later?,
157,1.0,1.0,Kurt Harrington,I thought you weren't talking to me for the rest of your life.,
158,1.0,1.0,Carrie,Who said anything about talking?,
159,1.0,1.0,Kurt Harrington,"What do you say to my place, 3:00?",
160,1.0,1.0,Carrie,Alright. See ya there.,
161,1.0,1.0,Stanford Blatch,Are you out of your mind? What the hell do you think you're doing?,
162,1.0,1.0,Carrie,"Oh, calm down.",
163,1.0,1.0,Carrie,It's research.,
164,1.0,1.0,Carrie,"Oh, God.",
165,1.0,1.0,Carrie,"Oh, Kurt.",
166,1.0,1.0,Carrie,Kurt was just like I remembered-- better-- because this time there would be none of that messy emotional attachment.,
167,1.0,1.0,Kurt Harrington,All righty.,
168,1.0,1.0,Kurt Harrington,My turn.,
169,1.0,1.0,Carrie,"Oh, sorry.",
170,1.0,1.0,Carrie,I have to go back to work.,
171,1.0,1.0,Kurt Harrington,What? Are you kiddin'? You're serious? ,
172,1.0,1.0,Carrie,"Oh, yeah. Completely.",
173,1.0,1.0,Carrie,But I'll give you a call.,
174,1.0,1.0,Carrie,Maybe we can do it again sometime.,
175,1.0,1.0,Kurt Harrington,"Yeah, but-- ",
176,1.0,1.0,Carrie,"As I began to get dressed, I realized that I'd done it.",
177,1.0,1.0,Carrie,I'd just had sex like a man.,
178,1.0,1.0,Carrie,"I left feeling powerful, potent and incredibly alive.",
179,1.0,1.0,Carrie,I felt like I owned this city.,
180,1.0,1.0,Carrie,Nothing and no one could get in my way.,
181,1.0,1.0,Carrie,"- Number one, he's very handsome.",
182,1.0,1.0,Big,- There ya go.,
183,1.0,1.0,Carrie,"Number two, he's not wearing a wedding ring.",
184,1.0,1.0,Carrie,"Number three, he knows I carry textured Trojans with a reservoir tip.",
185,1.0,1.0,Carrie,Thanks a lot.,
186,1.0,1.0,Big,Anytime.,
187,1.0,1.0,Carrie,"Later that night, Skipper met me for coffee and confessed a shocking intimate secret.",
188,1.0,1.0,Carrie,Thank you.,
189,1.0,1.0,Skipper,"Do you know that it has been, like, a year? ",
190,1.0,1.0,Carrie,Really? I don't understand that.,
191,1.0,1.0,Carrie,You're such a nice guy.,
192,1.0,1.0,Skipper,That's the problem.,
193,1.0,1.0,Skipper,"I'm too nice, you know? I'm a romantic.",
194,1.0,1.0,Skipper,I just have so much feeling.,
195,1.0,1.0,Carrie,Are you sure you're not gay? ,
196,1.0,1.0,Skipper,No! I'm sensitive and I don't objectify women.,
197,1.0,1.0,Skipper,"You know, most guys, when they meet a girl the first thing that they see is-- - You know-- - ",
198,1.0,1.0,Carrie,Pussy?,
199,1.0,1.0,Skipper,"Oh, God! Oh! I hate that word.",
200,1.0,1.0,Skipper,Don't you have any friends that you can hook me up with?,
201,1.0,1.0,Carrie,They're too old for you.,
202,1.0,1.0,Skipper,- I like older women.,
203,1.0,1.0,Carrie,Maybe.,
204,1.0,1.0,Carrie,- Maybe my friend Miranda.,
205,1.0,1.0,Skipper,- When? ,
206,1.0,1.0,Carrie,Tomorrow night.,
207,1.0,1.0,Carrie,"We're all going downtown to this club, Chaos.",
208,1.0,1.0,Skipper,Great.,
209,1.0,1.0,Skipper,Don't tell her I'm nice.,
210,1.0,1.0,Carrie,Miranda was gonna hate Skipper.,
211,1.0,1.0,Carrie,She'd think he was mocking her with his sweet nature and decide he was an asshole the way she had decided all men were assholes.,
212,1.0,1.0,Carrie,- Hello? -,
213,1.0,1.0,Charlotte,"Hey, Carrie, it's Charlotte.",
214,1.0,1.0,Carrie,"- Hey, sweetie.",
215,1.0,1.0,Charlotte,- Hey.,
216,1.0,1.0,Charlotte,"Look, I can't meet you guys for dinner tomorrow night because I have an amazing date.",
217,1.0,1.0,Carrie,With who? ,
218,1.0,1.0,Charlotte,Capote Duncan. He's supposedly some big shot in the publishing world.,x
219,1.0,1.0,Charlotte,- Do you know him? - ,
220,1.0,1.0,Carrie,"Did I know him? He was one of the city's most notoriously ""un-gettable"" bachelors.",
221,1.0,1.0,Charlotte,"Wait, don't even answer that question because, frankly, I don't care.",
222,1.0,1.0,Charlotte,And another thing.,
223,1.0,1.0,Charlotte,I'm not buying any of that women-having-sex-like-men crap.,
224,1.0,1.0,Carrie,I didn't tell her about my afternoon of cheap and easy sex and how good it felt.,
225,1.0,1.0,Carrie,All right.,
226,1.0,1.0,Carrie,Fine.,
227,1.0,1.0,Carrie,"Have a good time, and promise to tell me everything.",
228,1.0,1.0,Charlotte,"Well, if you're lucky.",
229,1.0,1.0,Charlotte,- Bye.,
230,1.0,1.0,Carrie,- All right.,
231,1.0,1.0,Carrie,Bye.,
232,1.0,1.0,Carrie,Friday night at Chaos.,
233,1.0,1.0,Carrie,"It was just like that bar in ""Cheers"" where everybody knows your name except here they were likely to forget it five minutes later.",
234,1.0,1.0,Carrie,Hi.,
235,1.0,1.0,Carrie,"Still, it was the creme de la creme of New York whipped into a frenzy.",
236,1.0,1.0,Carrie,Sometimes you got a souffle sometimes cottage cheese.,
237,1.0,1.0,Miranda,It is like a model bomb exploded in this room tonight.,
238,1.0,1.0,Miranda,Is there a woman here aside from me who weights more than a hundred pounds? ,
239,1.0,1.0,Skipper,"I know, it's like ""Undereaters Anonymous.",
240,1.0,1.0,Miranda,""" That's funny, Skippy.",
241,1.0,1.0,Skipper,- Skipper.,
242,1.0,1.0,Miranda,- I have this theory that men secretly hate pretty girls because they rejected them in school.,
243,1.0,1.0,Skipper,Right.,
244,1.0,1.0,Skipper,"But if you're not part of the ""Beauty Olympics"" you can still become a very interesting person.",
245,1.0,1.0,Miranda,Are you saying that I'm not pretty enough? ,
246,1.0,1.0,Skipper,"No, no, no. Of course you are.",
247,1.0,1.0,Miranda,"So, ipso f acto, I can't be interesting? Women fall into one of two categories: beautiful and boring or homely and interesting, is that it?",
248,1.0,1.0,Skipper,"No, that's not what I meant.",
249,1.0,1.0,Miranda,Excuse me.,
250,1.0,1.0,Miranda,Is this your hand on my knee? ,
251,1.0,1.0,Skipper,No.,
252,1.0,1.0,Miranda,"Let's just keep 'em where I can see 'em, all right? Well, I guess you must find me beautiful.",
253,1.0,1.0,Miranda,- Or interesting.,
254,1.0,1.0,Carrie,"- I was about to rescue Skipper from an increasingly hopeless situation, when suddenly-- ",
255,1.0,1.0,Kurt Harrington,"Lucky me, twice in one week.",
256,1.0,1.0,Carrie,"Well, I don't know if you're going to be getting that lucky.",
257,1.0,1.0,Kurt Harrington,"You know, I was really pissed off the way you left the other day.",
258,1.0,1.0,Carrie,- You were?,
259,1.0,1.0,Kurt Harrington,"Yeah. Then I thought, how great! You finally understand the kind of relationship I want and now we can have sex without commitment.",
260,1.0,1.0,Carrie,Yeah.,
261,1.0,1.0,Carrie,Right.,
262,1.0,1.0,Carrie,Sure.,
263,1.0,1.0,Carrie,I guess.,
264,1.0,1.0,Carrie,"- So when I feel like it, I'll call you.",
265,1.0,1.0,Kurt Harrington,"- Yeah, please.",
266,1.0,1.0,Kurt Harrington,Whenever you feel like it.,
267,1.0,1.0,Kurt Harrington,"If I'm alone, I'm all yours.",
268,1.0,1.0,Carrie,Right.,
269,1.0,1.0,Kurt Harrington,I like this new you.,
270,1.0,1.0,Kurt Harrington,Call me.,
271,1.0,1.0,Carrie,Yup.,
272,1.0,1.0,Carrie,I didn't understand.,
273,1.0,1.0,Carrie,"Did all men secretly want their women promiscuous and emotionally detached? And if I was really having sex like a man, why didn't I feel more in control? ",
274,1.0,1.0,Samantha,You see that guy? He's the next Donald Trump except he's younger and much better looking.,
275,1.0,1.0,Carrie,Hi.,
276,1.0,1.0,Samantha,- You know him? ,
277,1.0,1.0,Carrie,No. I've never seen him in my life.,
278,1.0,1.0,Samantha,"He usually dates models, but, hey, I'm as good-looking as a model plus I own my own business.",
279,1.0,1.0,Carrie,Samantha had the kind of deluded self-confidence that caused men like Ross Perot to run for president and it usually got her what she wanted.,
280,1.0,1.0,Samantha,"Well, if you're not gonna hit on him, I will.",
281,1.0,1.0,Carrie,And there she went-- off to take her best shot with Big.,
282,1.0,1.0,Carrie,"Meanwhile, Charlotte York was having a splendid evening with Capote Duncan.",
283,1.0,1.0,Capote Duncan,Wanna go back to my place and see the Ross Blechner?,
284,1.0,1.0,Charlotte,"I'd love to, but it's really getting late.",
285,1.0,1.0,Capote Duncan,No problem.,
286,1.0,1.0,Charlotte,- What year was it painted again?,
287,1.0,1.0,Capote Duncan,89.,
288,1.0,1.0,Carrie,Though Charlotte was determined to play hard-to-get she didn't want to end the evening too abruptly.,
289,1.0,1.0,Charlotte,"Well, maybe just for a minute.",
290,1.0,1.0,Charlotte,This could easily go for a hundred grand.,
291,1.0,1.0,Charlotte,Ross is so hot right now.,
292,1.0,1.0,Charlotte,It's beautiful.,
293,1.0,1.0,Capote Duncan,"No, you're beautiful.",
294,1.0,1.0,Charlotte,Thank you for tonight.,
295,1.0,1.0,Capote Duncan,- Yeah?,
296,1.0,1.0,Charlotte,I had a wonderful time.,
297,1.0,1.0,Capote Duncan,"Well, it was my pleasure.",
298,1.0,1.0,Charlotte,I have to get up really early tomorrow.,
299,1.0,1.0,Capote Duncan,I'll get you a cab.,
300,1.0,1.0,Carrie,Charlotte told me she thought she had played the entire evening flawlessly.,
301,1.0,1.0,Capote Duncan,"So, what are you doing next Saturday?",
302,1.0,1.0,Charlotte, I'm having dinner with you.,
303,1.0,1.0,Capote Duncan,"- You're going to the West Side, right?",
304,1.0,1.0,Charlotte,Right.,
305,1.0,1.0,Charlotte,"West Fourth and Bank, please.",
306,1.0,1.0,Capote Duncan,"Hey, scoot over, will ya? Two stops: Fourth and Bank and West Broadway and Broom.",
307,1.0,1.0,Charlotte,- You're going to Chaos? ,
308,1.0,1.0,Capote Duncan,Oh. Yeah.,
309,1.0,1.0,Charlotte,Why?,
310,1.0,1.0,Capote Duncan,"Look, I understand where you're coming from and I totally respect it but I really need to have sex tonight.",
311,1.0,1.0,Carrie,Back at Chaos things were swinging into high gear and Samantha was putting the moves on Big.,
312,1.0,1.0,Big,I've been smoking cigars for years back when they were terminally uncool.,
313,1.0,1.0,Samantha,I've got this great source that sends me Hondurans.,
314,1.0,1.0,Samantha,Do you want to try one?,
315,1.0,1.0,Big,"No, thank you.",
316,1.0,1.0,Samantha,- Really? You can't find them anywhere.,
317,1.0,1.0,Big,Cohibas-- that's all I smoke.,
318,1.0,1.0,Samantha,"Look, I do the PR for this club and I have the key to the private room downstairs.",
319,1.0,1.0,Big,Really? ,
320,1.0,1.0,Samantha,You want a private tour? ,
321,1.0,1.0,Big,"No, thanks, but maybe another time.",
322,1.0,1.0,Carrie,Meanwhile Skipper was hopelessly smitten with Miranda Hobbes.,
323,1.0,1.0,Skipper,"- So, where we goin' now?",
324,1.0,1.0,Miranda,"Listen, Skippy you know, you really are a nice, sweet guy, but-- ",
325,1.0,1.0,Skipper,"Oh, I understand.",
326,1.0,1.0,Miranda,Good night.,
327,1.0,1.0,Carrie,Miranda told me later that she thought he was too nice but that she was willing to overlook one flaw and Capote Duncan found his fix for the night.,
328,1.0,1.0,Samantha,Where is it? I wanna see the Ross Blechner.,
329,1.0,1.0,Capote Duncan,Wait.,
330,1.0,1.0,Capote Duncan,Later.,
331,1.0,1.0,Capote Duncan,Later.,
332,1.0,1.0,Capote Duncan,"Oh, listen, l-- I gotta get up really early and, actually, you can't stay over.",
333,1.0,1.0,Capote Duncan,Cool? ,
334,1.0,1.0,Samantha,Sure. I have to get up really early too.,
335,1.0,1.0,Carrie,Taxi! Taxi! And so another Friday night in Manhattan crept towards dawn.,
336,1.0,1.0,Carrie,Just when I thought I would have to do the unspeakable-- walk home-- ,
337,1.0,1.0,Big,"Well, get in, for Christ's sakes.",
338,1.0,1.0,Big,- Where can I drop you?,
339,1.0,1.0,Carrie,72nd Street and Third Avenue.,
340,1.0,1.0,Big,"- Have you got that, Al?",
341,1.0,1.0,Al,Yes sir.,
342,1.0,1.0,Big,"So, what have you been doing lately? ",
343,1.0,1.0,Carrie,You mean besides going out every night?,
344,1.0,1.0,Big,"I mean, what do you do for work?",
345,1.0,1.0,Carrie,"Well, this is my work.",
346,1.0,1.0,Carrie,I'm sort of a sexual anthropologist.,
347,1.0,1.0,Big,You mean like a hooker? ,
348,1.0,1.0,Carrie,"No. I write a column called ""Sex and the City.",
349,1.0,1.0,Carrie,""" Right now I'm researching an article about women who have sex like men.",
350,1.0,1.0,Carrie,"You know, they have sex and then afterwards they feel nothing.",
351,1.0,1.0,Big,- But you're not like that.,
352,1.0,1.0,Carrie,"- Well, aren't you? ",
353,1.0,1.0,Big,Not a drop. Not even half a drop.,
354,1.0,1.0,Carrie,Wow.,
355,1.0,1.0,Carrie,What's wrong with you?,
356,1.0,1.0,Big, I get it. You've never been in love.,
357,1.0,1.0,Carrie,"Oh, yeah? ",
358,1.0,1.0,Big,Yeah.,
359,1.0,1.0,Carrie,Suddenly I felt the wind knocked out of me.,
360,1.0,1.0,Carrie,I wanted to crawl under the covers and go right to sleep.,
361,1.0,1.0,Carrie,- Thanks for the ride.,
362,1.0,1.0,Big,- Anytime.,
363,1.0,1.0,Carrie,Wait.,
364,1.0,1.0,Carrie,Have you ever been in love? ,
365,1.0,1.0,Big,Abso-fuckin'-lutely.,
366,1.0,1.0,,,
0,1.0,2.0,Carrie,Last night my friend Miranda got invited to a dinner party by a man she hardly knew.,
1,1.0,2.0,Carrie,She was the date of Nick a fairly successful sports agent who once told her she had nice legs.,x
2,1.0,2.0,Nick,Okay.,
3,1.0,2.0,Nick ,Old movie stars you'd have liked to fuck when they were young.,
4,1.0,2.0,Miranda ,Alive or dead? It doesn't matter.,
5,1.0,2.0,Nick ,I'll start.,
6,1.0,2.0,Nick ,"Veronica Lake, the year she made Sullivan's Travels.",
7,1.0,2.0,Dave,Dave? I'd have to say Sophia Loren.,
8,1.0,2.0,Dave,Probably 'cause my dad had this thing for her.,
9,1.0,2.0,Daves Girlfriend ,We won't go there.,
10,1.0,2.0,Daves Girlfriend ,Montgomery Clift.,
11,1.0,2.0,Dinner Guest 1,- He was gay.,
12,1.0,2.0,Daves Girlfriend ,- Oh.,
13,1.0,2.0, Dinner guest 2,"Marilyn Monroe, before the Kennedys got to her.",
14,1.0,2.0,Dinner guest 2, Honey?,
15,1.0,2.0,Dinner guest 1,"Bing Crosby, I stand by my choice",
16,1.0,2.0,Miranda ,Sean Connery.,
17,1.0,2.0,Miranda ,"Yesterday, today and tomorrow.",
18,1.0,2.0,Carrie,"For a first date, Miranda felt like she was hitting it out of the ballpark.",
19,1.0,2.0,Miranda ,Thanks.,
20,1.0,2.0,Daves Girlfriend ,So how long have you known Nick? ,
21,1.0,2.0,Miranda , We've been riding the same elevator line for years and then we had lunch a few weeks ago and then he invited me here to dinner.,
22,1.0,2.0,Dinner Guest 1,- He's very smart.,
23,1.0,2.0,Daves Girlfreind,- Guess he took our ultimatum seriously.,
24,1.0,2.0,Dinner Guest 1,- Deanne.,
25,1.0,2.0,Miranda ,What are you talking about? ,
26,1.0,2.0,Carrie,They told Miranda that Nick had this thing for models.,
27,1.0,2.0,Nick,Old movie stars you'd have liked to fuck when they were young.,
28,1.0,2.0,Nick,I'll start.,
29,1.0,2.0,Nick,"Veronica Lake, the year she made Sullivan's Travels.",
30,1.0,2.0,Nick,- Dave? ,
31,1.0,2.0,Dave,I'd have to go with Sophia Loren.,
32,1.0,2.0,Dave ,Probably.,
33,1.0,2.0,Dave,My dad had a thing for her.,
34,1.0,2.0,Deanne,- Montgomery Clift.,
35,1.0,2.0,Dinner Guest 2 ,- Marilyn Monroe.,
36,1.0,2.0,Dinner Guest 1,Bing Crosby.,
37,1.0,2.0,Dave ,Yvette? ,
38,1.0,2.0,Yvette,I don't know. Charlie Sheen? ,
39,1.0,,Carrie,They'd come to dinner push their food around and pout.,
40,1.0,2.0,Nick ,Veronica Lake.,
41,1.0,2.0,Dave,- Sophia Loren.,
42,1.0,2.0,Deanne,- Montgomery Clift.,
43,1.0,2.0,Dinner Guest2 ,Marilyn Monroe.,
44,1.0,2.0,Dinner Guest 1,Bing Crosby.,
45,1.0,2.0,Nick,Marissa? She had to make a phone call.,
46,1.0,2.0,Carrie,It got to be a problem.,
47,1.0,2.0,Carrie,They decided to take action.,
48,1.0,2.0,Dinner Guest 1,"Can't you find a woman who can carry on a decent conversation? Yeah, Nick.",
49,1.0,2.0,Deanne,And eat without purging.,
50,1.0,2.0,Nick,What are you saying? You can't bring around any more of these so-called models.,
51,1.0,2.0,Dinner Guest 1 ,It's too depressing.,
52,1.0,2.0,Nick,"Okay, okay.",
53,1.0,2.0,Nick,I'll see what I can do.,
